ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Westbound,41.2605723,-110.9565454
I 80,Westbound,41.2607158,-110.9563212
I 80,Westbound,41.2608546,-110.9561157
I 80,Westbound,41.2610259,-110.9558751
I 80,Westbound,41.261178,-110.9556751
I 80,Westbound,41.2612974,-110.9555259
I 80,Westbound,41.2613547,-110.9554548
I 80,Westbound,41.2615206,-110.955261
I 80,Westbound,41.2617128,-110.9550503
I 80,Westbound,41.2618805,-110.9548752
I 80,Westbound,41.2620559,-110.9546989
I 80,Westbound,41.26213214,-110.9546251
I 80,Westbound,41.26213214,-110.9546251
I 80,Westbound,41.2622507,-110.9545109
I 80,Westbound,41.2624368,-110.954342
I 80,Westbound,41.2626153,-110.9541929
I 80,Westbound,41.2628033,-110.9540472
I 80,Westbound,41.2630236,-110.9538843
I 80,Westbound,41.2633714,-110.9536308
I 80,Westbound,41.2643758,-110.9529056
I 80,Westbound,41.2645722,-110.9527594
I 80,Westbound,41.2647831,-110.9525938
I 80,Westbound,41.26487358,-110.9525176
I 80,Westbound,41.2649662,-110.9524397
I 80,Westbound,41.2651456,-110.9522769
I 80,Westbound,41.2653359,-110.9520888
I 80,Westbound,41.2655062,-110.9519061
I 80,Westbound,41.2655062,-110.9519061
I 80,Westbound,41.2656701,-110.9517147
I 80,Westbound,41.2657807,-110.9515737
I 80,Westbound,41.2658429,-110.9514934
I 80,Westbound,41.2659946,-110.9512828
I 80,Westbound,41.2661401,-110.9510637
I 80,Westbound,41.2662743,-110.950843
I 80,Westbound,41.2664225,-110.9505765
I 80,Westbound,41.266546,-110.9503331
I 80,Westbound,41.2666434,-110.9501239
I 80,Westbound,41.2666728,-110.9500591
I 80,Westbound,41.2667772,-110.9498116
I 80,Westbound,41.26686289,-110.9495856
I 80,Westbound,41.2668764,-110.94955
I 80,Westbound,41.2668971,-110.9494899
I 80,Westbound,41.2669753,-110.9492571
I 80,Westbound,41.2670568,-110.9489845
I 80,Westbound,41.2671361,-110.9486798
I 80,Westbound,41.2671998,-110.9483983
I 80,Westbound,41.2672593,-110.9480864
I 80,Westbound,41.267304,-110.9478094
I 80,Westbound,41.2673439,-110.947522
I 80,Westbound,41.2673909,-110.9471316
I 80,Westbound,41.2674793,-110.9463418
I 80,Westbound,41.2675394,-110.9457679
I 80,Westbound,41.26758554,-110.945312
I 80,Westbound,41.2676255,-110.9449173
I 80,Westbound,41.2677035,-110.9441703
I 80,Westbound,41.2677035,-110.9441703
I 80,Westbound,41.2677878,-110.943347
I 80,Westbound,41.2678153,-110.9430601
I 80,Westbound,41.2678671,-110.942484
I 80,Westbound,41.26788098,-110.9423122
I 80,Westbound,41.2678927,-110.9421672
I 80,Westbound,41.2679146,-110.9418692
I 80,Westbound,41.2679507,-110.9413367
I 80,Westbound,41.267973,-110.9409813
I 80,Westbound,41.2679914,-110.9406625
I 80,Westbound,41.268007,-110.9403637
I 80,Westbound,41.2680231,-110.9400084
I 80,Westbound,41.2680318,-110.9397933
I 80,Westbound,41.2680428,-110.9394656
I 80,Westbound,41.26805,-110.9391766
I 80,Westbound,41.26805696,-110.938757
I 80,Westbound,41.26805696,-110.938757
I 80,Westbound,41.2680651,-110.9379886
I 80,Westbound,41.2680653,-110.9376981
I 80,Westbound,41.2680629,-110.9373695
I 80,Westbound,41.2680544,-110.9367896
I 80,Westbound,41.2680475,-110.9364712
I 80,Westbound,41.2680395,-110.9361827
I 80,Westbound,41.2680202,-110.9356435
I 80,Westbound,41.2680067,-110.9353184
I 80,Westbound,41.267991,-110.9349914
I 80,Westbound,41.2679577,-110.9344118
I 80,Westbound,41.2679366,-110.9340932
I 80,Westbound,41.26791801,-110.9338342
I 80,Westbound,41.2679158,-110.9338034
I 80,Westbound,41.2678704,-110.9332336
I 80,Westbound,41.2678411,-110.9328984
I 80,Westbound,41.2678205,-110.9326837
I 80,Westbound,41.2678205,-110.9326837
I 80,Westbound,41.2677558,-110.9320206
I 80,Westbound,41.2675411,-110.9299114
I 80,Westbound,41.2673565,-110.9281474
I 80,Westbound,41.2671155,-110.9257955
I 80,Westbound,41.267017,-110.9248696
I 80,Westbound,41.2668951,-110.9236837
I 80,Westbound,41.2667942,-110.9227563
I 80,Westbound,41.2667283,-110.9221828
I 80,Westbound,41.2666563,-110.9215804
I 80,Westbound,41.2666074,-110.9211825
I 80,Westbound,41.2665481,-110.9207202
I 80,Westbound,41.266428,-110.9198352
I 80,Westbound,41.2663428,-110.9192372
I 80,Westbound,41.266253,-110.9186297
I 80,Westbound,41.2661653,-110.9180593
I 80,Westbound,41.2660179,-110.9171495
I 80,Westbound,41.2658285,-110.9160231
I 80,Westbound,41.2657722,-110.9157112
I 80,Westbound,41.2655696,-110.9146128
I 80,Westbound,41.2654327,-110.9138827
I 80,Westbound,41.2652905,-110.9131133
I 80,Westbound,41.2650977,-110.912092
I 80,Westbound,41.2647825,-110.9104091
I 80,Westbound,41.2643007,-110.9078572
I 80,Westbound,41.26414,-110.9069793
I 80,Westbound,41.2640549,-110.9065218
I 80,Westbound,41.2638425,-110.9054068
I 80,Westbound,41.263486,-110.9035029
I 80,Westbound,41.2633676,-110.9028812
I 80,Westbound,41.2632832,-110.9024243
I 80,Westbound,41.2631555,-110.9017213
I 80,Westbound,41.2630995,-110.9014002
I 80,Westbound,41.2630472,-110.9010879
I 80,Westbound,41.2629565,-110.9005262
I 80,Westbound,41.2629125,-110.9002398
I 80,Westbound,41.2628259,-110.8996378
I 80,Westbound,41.2627849,-110.8993401
I 80,Westbound,41.2627449,-110.8990321
I 80,Westbound,41.2626776,-110.8984626
I 80,Westbound,41.2626111,-110.8978466
I 80,Westbound,41.2625515,-110.8972399
I 80,Westbound,41.2625266,-110.8969594
I 80,Westbound,41.2625027,-110.896669
I 80,Westbound,41.2624537,-110.8960211
I 80,Westbound,41.2624155,-110.8954473
I 80,Westbound,41.2623993,-110.8951553
I 80,Westbound,41.2623854,-110.8948728
I 80,Westbound,41.2623583,-110.8942507
I 80,Westbound,41.2623388,-110.8936481
I 80,Westbound,41.2623315,-110.8933477
I 80,Westbound,41.2623265,-110.8930657
I 80,Westbound,41.2623206,-110.8924569
I 80,Westbound,41.26232,-110.8918692
I 80,Westbound,41.2623219,-110.8915505
I 80,Westbound,41.2623249,-110.8913077
I 80,Westbound,41.2623318,-110.8909437
I 80,Westbound,41.2623487,-110.8903556
I 80,Westbound,41.2623721,-110.8897494
I 80,Westbound,41.2624,-110.8891832
I 80,Westbound,41.2624192,-110.8888518
I 80,Westbound,41.2624466,-110.8884385
I 80,Westbound,41.262482,-110.8879522
I 80,Westbound,41.2625147,-110.887549
I 80,Westbound,41.2625585,-110.887053
I 80,Westbound,41.262597,-110.8866604
I 80,Westbound,41.2626493,-110.8861655
I 80,Westbound,41.2626864,-110.8858389
I 80,Westbound,41.2627567,-110.8852712
I 80,Westbound,41.2628358,-110.8846697
I 80,Westbound,41.2628761,-110.8843839
I 80,Westbound,41.2629645,-110.8837854
I 80,Westbound,41.2630094,-110.8835006
I 80,Westbound,41.2630797,-110.8830756
I 80,Westbound,41.2631577,-110.8826235
I 80,Westbound,41.2632153,-110.8823051
I 80,Westbound,41.2633215,-110.881745
I 80,Westbound,41.26343226,-110.881192
I 80,Westbound,41.2634989,-110.8808722
I 80,Westbound,41.2635591,-110.880595
I 80,Westbound,41.2636353,-110.8802555
I 80,Westbound,41.2637405,-110.8798024
I 80,Westbound,41.2638307,-110.8794259
I 80,Westbound,41.2639406,-110.8789847
I 80,Westbound,41.2640393,-110.8786007
I 80,Westbound,41.2641384,-110.8782273
I 80,Westbound,41.2642676,-110.8777552
I 80,Westbound,41.2643548,-110.8774483
I 80,Westbound,41.2645921,-110.8766334
I 80,Westbound,41.2646706,-110.8763712
I 80,Westbound,41.2647621,-110.876075
I 80,Westbound,41.264848,-110.8758062
I 80,Westbound,41.2649792,-110.8754094
I 80,Westbound,41.2651245,-110.8749802
I 80,Westbound,41.2652287,-110.8746812
I 80,Westbound,41.2654133,-110.8741623
I 80,Westbound,41.2655212,-110.8738659
I 80,Westbound,41.2657126,-110.873352
I 80,Westbound,41.2658155,-110.8730847
I 80,Westbound,41.266003,-110.8726114
I 80,Westbound,41.2661167,-110.8723308
I 80,Westbound,41.2662491,-110.8720104
I 80,Westbound,41.2663558,-110.871757
I 80,Westbound,41.266475,-110.8714805
I 80,Westbound,41.2666965,-110.8709793
I 80,Westbound,41.2669229,-110.870479
I 80,Westbound,41.2670479,-110.8702077
I 80,Westbound,41.2671639,-110.8699607
I 80,Westbound,41.2672822,-110.8697148
I 80,Westbound,41.2675344,-110.8692013
I 80,Westbound,41.2676862,-110.8688997
I 80,Westbound,41.2679256,-110.8684358
I 80,Westbound,41.2681958,-110.8679244
I 80,Westbound,41.2697218,-110.8650712
I 80,Westbound,41.2700364,-110.8644799
I 80,Westbound,41.2704112,-110.8637812
I 80,Westbound,41.2706824,-110.8632688
I 80,Westbound,41.2709315,-110.8628023
I 80,Westbound,41.2709315,-110.8628023
I 80,Westbound,41.2710578,-110.8625638
I 80,Westbound,41.2711822,-110.8623235
I 80,Westbound,41.2713152,-110.862057
I 80,Westbound,41.2714323,-110.8618103
I 80,Westbound,41.2715448,-110.8615606
I 80,Westbound,41.2716667,-110.8612734
I 80,Westbound,41.27168585,-110.8612252
I 80,Westbound,41.2717692,-110.8610156
I 80,Westbound,41.271875,-110.8607284
I 80,Westbound,41.2719624,-110.8604718
I 80,Westbound,41.2720494,-110.8601945
I 80,Westbound,41.2721352,-110.8598969
I 80,Westbound,41.2721999,-110.8596591
I 80,Westbound,41.2722763,-110.8593577
I 80,Westbound,41.2723415,-110.8590718
I 80,Westbound,41.2724043,-110.8587649
I 80,Westbound,41.2724554,-110.8584828
I 80,Westbound,41.2725021,-110.8581893
I 80,Westbound,41.2725405,-110.8579124
I 80,Westbound,41.27255158,-110.8578229
I 80,Westbound,41.27255158,-110.8578229
I 80,Westbound,41.2725785,-110.8575972
I 80,Westbound,41.2726082,-110.8572991
I 80,Westbound,41.2726306,-110.8570093
I 80,Westbound,41.2726428,-110.8567874
I 80,Westbound,41.272648,-110.8566818
I 80,Westbound,41.2726569,-110.856401
I 80,Westbound,41.2726603,-110.8561106
I 80,Westbound,41.2726586,-110.8558199
I 80,Westbound,41.2726496,-110.8554829
I 80,Westbound,41.2726365,-110.8552028
I 80,Westbound,41.2726171,-110.854914
I 80,Westbound,41.2725882,-110.8545893
I 80,Westbound,41.2725577,-110.8543123
I 80,Westbound,41.2725204,-110.8540269
I 80,Westbound,41.2725204,-110.8540269
I 80,Westbound,41.27250919,-110.8539531
I 80,Westbound,41.2724776,-110.8537442
I 80,Westbound,41.2724224,-110.8534254
I 80,Westbound,41.2723678,-110.8531453
I 80,Westbound,41.2723078,-110.8528668
I 80,Westbound,41.2722425,-110.852589
I 80,Westbound,41.2721657,-110.8522867
I 80,Westbound,41.2720802,-110.8519811
I 80,Westbound,41.2720079,-110.8517425
I 80,Westbound,41.2719114,-110.8514524
I 80,Westbound,41.2718036,-110.8511562
I 80,Westbound,41.2712078,-110.8495801
I 80,Westbound,41.2706818,-110.8482207
