ROUTE,LATITUDE,LONGITUDE
I 80,41.2711694,-110.8621392
I 80,41.2713079,-110.8618553
I 80,41.2714382,-110.8615718
I 80,41.2715594,-110.8612895
I 80,41.2717468,-110.8608106
I 80,41.27188395,-110.8604173
I 80,41.27203255,-110.8599328
I 80,41.27217775,-110.8593851
I 80,41.27226145,-110.8590179
I 80,41.27231025,-110.8587786
I 80,41.2723673,-110.8584644
I 80,41.27245145,-110.8579082
I 80,41.27246334,-110.8578109
I 80,41.27246352,-110.8578094
I 80,41.27248705,-110.8576167
I 80,41.2725159,-110.8573329
I 80,41.27254205,-110.8570062
I 80,41.2725575,-110.8567213
I 80,41.27256865,-110.8563938
I 80,41.2725726,-110.8561084
I 80,41.27257085,-110.8557993
I 80,41.27256225,-110.8554865
I 80,41.27254855,-110.8552018
I 80,41.27252755,-110.8548986
I 80,41.2725001,-110.854592
I 80,41.27246725,-110.8542915
I 80,41.2724299,-110.8540056
I 80,41.2723776,-110.8536722
I 80,41.27222625,-110.8529046
I 80,41.2721534,-110.8525966
I 80,41.27207365,-110.8522899
I 80,41.27198715,-110.8519874
I 80,41.2719029,-110.8517172
I 80,41.27181355,-110.851453
I 80,41.27167045,-110.8510618
I 80,41.2711174,-110.8496026
I 80,41.26907245,-110.8442823
I 80,41.26873525,-110.8433974
I 80,41.2685575,-110.8429083
I 80,41.26837385,-110.8423494
I 80,41.26820595,-110.8417706
I 80,41.26806715,-110.8412236
I 80,41.26799705,-110.840913
I 80,41.26793645,-110.8406193
I 80,41.26783795,-110.8400772
I 80,41.2677868,-110.8397561
I 80,41.2677402,-110.8394197
I 80,41.2676801,-110.8388915
I 80,41.2676504,-110.8385607
I 80,41.2676132,-110.8379866
I 80,41.26759315,-110.8374113
I 80,41.26758955,-110.83706
I 80,41.2675976,-110.8365443
I 80,41.2676124,-110.8361701
I 80,41.2676467,-110.8356387
I 80,41.26767945,-110.835267
I 80,41.26773665,-110.8347635
I 80,41.2677923,-110.834364
I 80,41.2678739,-110.8338672
I 80,41.26793965,-110.8335187
I 80,41.2680127,-110.8331704
I 80,41.26810125,-110.8327872
I 80,41.2681782,-110.8324832
I 80,41.2682662,-110.8321626
I 80,41.2683645,-110.8318315
I 80,41.26847235,-110.831495
I 80,41.2685749,-110.8311965
I 80,41.26870825,-110.8308334
I 80,41.268894,-110.8303655
I 80,41.26910905,-110.8298685
I 80,41.27164565,-110.8242678
I 80,41.27188735,-110.8237255
I 80,41.27202385,-110.8234047
I 80,41.2721882,-110.822988
I 80,41.2723121,-110.8226505
I 80,41.27241115,-110.8223581
I 80,41.27249245,-110.8220964
I 80,41.2725797,-110.8217924
I 80,41.2727243,-110.8212462
I 80,41.2728571,-110.820696
I 80,41.27292055,-110.8204028
I 80,41.2730241,-110.819858
I 80,41.273078,-110.8195283
I 80,41.27315435,-110.8189804
I 80,41.2731932,-110.8186413
I 80,41.27323985,-110.8181207
I 80,41.27326545,-110.8177124
I 80,41.27328475,-110.817189
I 80,41.27328935,-110.8166617
I 80,41.27328475,-110.8163355
I 80,41.27327345,-110.8159777
I 80,41.2732561,-110.8156347
I 80,41.27323125,-110.8152782
I 80,41.27289825,-110.81161
I 80,41.27285835,-110.8111001
I 80,41.27284345,-110.8107783
I 80,41.27283515,-110.8102517
I 80,41.27284435,-110.8097969
I 80,41.27286885,-110.8092998
I 80,41.27289145,-110.8089978
I 80,41.2729236,-110.8086618
I 80,41.2729574,-110.8083737
I 80,41.27299585,-110.8080957
I 80,41.2730411,-110.8078099
I 80,41.2730915,-110.8075292
I 80,41.27319755,-110.8070246
I 80,41.27331025,-110.8065663
I 80,41.27339525,-110.8062603
I 80,41.27347735,-110.8059885
I 80,41.27356185,-110.805727
I 80,41.2736608,-110.805441
